"https://prox4you.pro/","HTTPSConnectionPool(host='prox4you.pro'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)')))","['37.48.65.150']","12","['10.126.192.2'; '10.10.254.61'; '10.127.1.4'; '137.111.189.12'; '202.158.194.121'; '64.125.193.129'; '64.125.29.0'; '64.125.30.27'; '94.31.36.202'; '81.17.34.21'; '81.17.33.127'; '37.48.65.150']"
"http://prox4you.info/","HTTPSConnectionPool(host='prox4you.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)')))","['67.227.226.240']","11","['10.126.192.2'; '10.127.1.7'; '138.44.5.105'; '10.10.254.61'; '202.158.194.121'; '64.125.193.129'; '64.125.29.0'; '208.115.136.138'; '209.59.157.156'; '209.59.157.223'; '67.227.226.240']"
"https://unblocked.to/","403","['104.21.33.203'; '172.67.149.130']","3","['10.126.192.3'; '10.10.254.61'; '104.21.33.203']"
"https://prostylex.org/","503","['104.21.46.35'; '172.67.223.35']","4","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '104.21.46.35']"
"https://torrents.io","HTTPSConnectionPool(host='torrents.io'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D28855948>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))","[Errno 11001] getaddrinfo failed","1","['[Errno 11001] getaddrinfo failed']"
"https://katcr.co/","HTTPSConnectionPool(host='katcr.co'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D28855948>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))","[Errno 11001] getaddrinfo failed","1","['[Errno 11001] getaddrinfo failed']"
"https://katcr.to/","200","['172.67.152.196'; '104.21.64.163']","4","['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '172.67.152.196']"
"https://kikass.to/","503","['172.67.156.105'; '104.21.74.86']","6","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '202.158.194.177'; '198.32.176.171'; '172.67.156.105']"
"https://kat.sx/","200","['104.21.67.160'; '172.67.177.245']","4","['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '104.21.67.160']"
"https://kickass.sx/","200","['104.21.67.208'; '172.67.181.31']","5","['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '198.32.176.171'; '104.21.67.208']"
"https://kickass1.to/","200","['104.21.25.110'; '172.67.134.16']","4","['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '104.21.25.110']"
