Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
http://www.anime-sharing.com/,200,10.127.5.17,"['x', 'y']","[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.5', '138.44.5.105', '113.197.15.143', '202.158.194.177', '198.32.176.171', '172.67.131.154']",8,"['172.67.131.154', '104.21.4.33']",[],"['104.21.4.33', '172.67.131.154']","['104.21.4.33', '172.67.131.154']","[403, 403]",[],"[403, 403]","[403, 403]",FALSE,"['False', 'False']",[],"['False', 'False']","['False', 'False']",FALSE,"['True', 'True']",[],"['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
https://www.imovies.cc,"HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'www.imovies.cc' doesn't match '*.execute-api.ap-southeast-2.amazonaws.com'"")))",192.168.43.1,"['3.105.225.164', '3.104.147.29', '3.106.169.116', '13.210.128.241', '3.106.67.141', '3.106.37.199', '13.55.191.56', '52.64.155.227', '3.24.37.110', '54.253.238.204', '54.153.204.20', '54.206.220.49', '54.79.190.247', '3.105.240.211', '52.64.227.94', '52.63.120.34', '3.24.151.179', '54.253.148.58', '54.79.252.3', '13.55.216.130', '54.253.102.29', '3.106.21.213', '3.104.250.127', '3.24.209.200', '52.63.243.35', '13.211.116.246', '3.24.247.184', '52.63.187.77', '54.206.145.91']","[""HTTPConnectionPool(host='3.105.225.164'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D74A06748>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='3.104.147.29'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D74A06D08>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='3.106.169.116'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D74A12408>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='13.210.128.241'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D74A17A08>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='3.106.67.141'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D74A1BF88>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", 403, 200, 404, ""HTTPConnectionPool(host='3.24.37.110'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D755857C8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", 451, 451, ""HTTPConnectionPool(host='54.206.220.49'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D75598748>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"", ""HTTPConnectionPool(host='54.79.190.247'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D7559D888>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='3.105.240.211'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D755A5988>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"", ""HTTPConnectionPool(host='52.64.227.94'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D755A5688>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='52.63.120.34'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D7559D448>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", 503, ""HTTPConnectionPool(host='54.253.148.58'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D75585408>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", 'HTTPSConnectionPool(host=\'54.79.252.3\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'54.79.252.3\' doesn\'t match \'*.detectedx.com\'"")))', 200, 403, ""HTTPConnectionPool(host='3.106.21.213'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D75591F08>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='3.104.250.127'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D74A21E48>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='3.24.209.200'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D74A12DC8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='52.63.243.35'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D75591CC8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", 'HTTPSConnectionPool(host=\'13.211.116.246\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'13.211.116.246\' doesn\'t match \'*.dev.ecoportal.com\'"")))', ""HTTPConnectionPool(host='3.24.247.184'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D75585648>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))"", ""HTTPConnectionPool(host='52.63.187.77'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D7559DB08>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"", ""HTTPConnectionPool(host='54.206.145.91'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000027D755A5CC8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))""]","['192.168.43.1', '10.194.176.93', '210.49.119.222', '172.24.126.1', '10.194.122.213', '52.95.217.190', '124.19.61.224', '52.95.37.34', '150.222.112.243', '52.95.38.212', '52.95.37.137', '54.153.204.20']",12,[],[],"['104.21.192.116', '104.21.192.117']","['104.21.192.117', '104.21.192.116']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'True', 'True', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']","['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']"
https://www.stockspot.com.au/,200,192.168.43.1,"['54.79.28.199', '54.79.22.194']","[200, 200]","['192.168.43.1', '10.194.176.89', '210.49.119.230', '10.194.122.213', '172.24.126.3', '124.19.61.72', '52.95.217.190', '52.95.37.25', '150.222.112.243', '52.95.38.222', '54.79.28.199']",11,[],[],"['54.79.22.194', '54.79.28.199']","['54.79.22.194', '54.79.28.199']",[],[],"[200, 200]","[200, 200]",FALSE,[],[],"['False', 'False']","['False', 'False']",FALSE,[],[],"['False', 'False']","['False', 'False']","['False', 'False']","['False', 'False']"
