Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked
https://www.imovies.cc,200,10.127.5.17,['104.21.192.117'; '104.21.192.116'],"[403, 403]","['10.10.254.61', '10.127.1.5', '113.197.15.143', '10.126.192.2', '202.158.194.177', '198.32.176.70', '195.22.206.0', '195.22.206.73', '172.70.36.2', '104.21.192.117']",10,"['104.21.192.117', '104.21.192.116']",[],"['104.21.192.117', '104.21.192.116']","['104.21.192.117', '104.21.192.116']","[403, 403]",[],"[403, 403]","[403, 403]",AARC_True,"['False', 'False']",[],"['False', 'False']","['False', 'False']",FALSE,"['True', 'True']",[],"['True', 'True']","['True', '1']"
http://www.anime-sharing.com/,200,10.127.5.17,['172.67.131.154'; '104.21.4.33'],"[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.5', '138.44.5.105', '202.158.194.177', '198.32.176.171', '172.67.131.154']",7,"['172.67.131.154', '104.21.4.33']",[],"['172.67.131.154', '104.21.4.33']","['172.67.131.154', '104.21.4.33']","[403, 403]",[],"[403, 403]","[403, 403]",FALSE,"[False, False]",[],"[False, False]","[False, False]",FALSE,"[True, True]",[],"[True, True]","[True, 1]"
https://www.stockspot.com.au/,200,10.127.5.17,['54.79.22.194'; '54.79.28.199'],"[200, 200]","['10.126.192.2', '10.127.1.5', '10.10.254.61', '137.111.189.12', '138.44.5.105', '113.197.15.5', '113.197.15.109', '52.95.219.52', '150.222.112.161', '150.222.112.164', '52.95.36.18', '52.95.36.57', '52.95.38.210', '54.79.28.199']",14,"['54.79.28.199', '54.79.22.194']",[],"['54.79.22.194', '54.79.28.199']","['54.79.28.199', '54.79.22.194']","[200, 200]",[],"[200, 200]","[200, 200]",3,"[False, 2]",[],"[False, 2]","[False, 2]",3,"[False, 2]",[],"[False, WATTT]","[False, EVENWATER]"
